СТАТИСТИКА СЕТЕВЫХ ПАКЕТОВ
==================================================
Время генерации: 2025-11-09 10:25:17
Общее количество пакетов: 1027
Общий объем трафика: 588,687 байт
Средний размер пакета: 573.21 байт
Минимальный размер: 42 байт
Максимальный размер: 8387 байт

ТОП-10 ПРОТОКОЛОВ:
------------------------------------------------------------
TCP                  |      645 пакетов |       352860 байт |   547.07 ср.размер
TLSv1.2              |      282 пакетов |       195165 байт |   692.07 ср.размер
TLSv1.3              |       47 пакетов |        31033 байт |   660.28 ср.размер
DNS                  |       28 пакетов |         3506 байт |   125.21 ср.размер
SSL                  |       13 пакетов |         3351 байт |   257.77 ср.размер
SSDP                 |        4 пакетов |          848 байт |   212.00 ср.размер
ARP                  |        4 пакетов |          168 байт |    42.00 ср.размер
TLSv1                |        2 пакетов |         1142 байт |   571.00 ср.размер
HTTP/JSO             |        1 пакетов |          230 байт |   230.00 ср.размер
HTTP                 |        1 пакетов |          384 байт |   384.00 ср.размер

ТОП-10 ИСТОЧНИКОВ:
--------------------------------------------------
10.179.45.141        |      408 пакетов |       129463 байт
213.180.193.234      |      359 пакетов |       360959 байт
52.168.112.66        |       63 пакетов |         8905 байт
23.35.105.184        |       28 пакетов |        38832 байт
77.88.55.88          |       20 пакетов |         3877 байт
150.171.28.11        |       20 пакетов |         8074 байт
52.123.245.96        |       18 пакетов |        12808 байт
10.179.45.165        |       14 пакетов |         2348 байт
155.133.252.69       |       13 пакетов |         2294 байт
142.251.1.95         |       13 пакетов |         5687 байт

ТОП-10 ПОЛУЧАТЕЛЕЙ:
--------------------------------------------------
10.179.45.141        |      615 пакетов |       459056 байт
213.180.193.234      |      196 пакетов |        52748 байт
52.168.112.66        |       25 пакетов |        35670 байт
77.88.55.88          |       16 пакетов |        11275 байт
23.35.105.184        |       16 пакетов |         1548 байт
52.123.245.96        |       16 пакетов |         3984 байт
150.171.28.11        |       15 пакетов |         3754 байт
10.179.45.165        |       14 пакетов |         1158 байт
155.133.252.69       |       13 пакетов |         1469 байт
142.251.1.95         |       13 пакетов |         3276 байт
